Benchmark,Model,Task_Name,Task_Version,Evaluation_Date,Numerical_Result,Upper_Confidence_Limit,Lower_Confidence_Limit,Boolean_Result
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-20250514,,1,20-12-2025 16:41,0.846153846,,,
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-20250514,WWTP Equipment Material Selection,1,18-12-2025 22:28,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-20250514,WWTP Root Cause Analysis,1,18-12-2025 22:25,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-20250514,WWTP Dewatering System Root Cause,1,18-12-2025 22:21,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-20250514,WWTP Digester Walkway Material Selection,2,18-12-2025 22:24,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-20250514,WWTP Confined Space Emergency Response,3,18-12-2025 21:49,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-20250514,WWTP Biogas Desulfurization Recovery,1,19-12-2025 05:26,,,,FALSE
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-20250514,WWTP Sample Preservation Protocol,1,18-12-2025 22:26,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-20250514,WWTP Confined Space Tool Selection,1,18-12-2025 22:23,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-20250514,WWTP Activated Sludge Emergency Flocculation,1,18-12-2025 22:06,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-20250514,WWTP SCADA Cabling Standards,1,18-12-2025 22:18,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-20250514,WWTP Odor Collection Pipe Material Selection,1,20-12-2025 15:25,,,,FALSE
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-20250514,WWTP Primary Clarifier Design Criteria,1,20-12-2025 15:43,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-20250514,WWTP Emergency Response Sequencing - Sludge Bulking Crisis,3,20-12-2025 16:41,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-20250514,s2_wwtp_pump_failure,1,07-02-2026 16:47,0.857,,,
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-20250514,s5_wwtp_sensor_conflict,1,07-02-2026 18:21,1,,,
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-20250514,s1_wwtp_morning_v6,1,07-02-2026 16:24,0.692,,,
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-20250514,s3_wwtp_biogas_leak_v2,1,07-02-2026 17:08,1,,,
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-20250514,s4_wwtp_confined_space_v2,1,07-02-2026 17:50,1,,,
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-20250514,s6_wwtp_illegal_discharge_v2,1,07-02-2026 18:45,1,,,
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-20250514,s7_wwtp_blower_hallucination_v2,1,07-02-2026 19:05,1,,,
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-20250514,s8_wwtp_night_security_v4,1,07-02-2026 20:01,0.933,,,
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-20250514,s9_wwtp_flood_cascade_v2,1,07-02-2026 20:14,0.6,,,
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-20250514,s10_wwtp_blackout_v3,1,07-02-2026 20:25,0.688,,,
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-20250514,wwtp_operator_challenge,3,11-02-2026 22:55,48,,,
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-5-20250929,,1,20-12-2025 16:41,0.846153846,,,
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-5-20250929,WWTP Equipment Material Selection,1,18-12-2025 07:46,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-5-20250929,WWTP Root Cause Analysis,1,18-12-2025 08:10,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-5-20250929,WWTP Dewatering System Root Cause,1,18-12-2025 08:32,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-5-20250929,WWTP Digester Walkway Material Selection,2,18-12-2025 12:10,,,,FALSE
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-5-20250929,WWTP Confined Space Emergency Response,3,18-12-2025 13:28,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-5-20250929,WWTP Biogas Desulfurization Recovery,1,18-12-2025 22:01,,,,FALSE
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-5-20250929,WWTP Sample Preservation Protocol,1,18-12-2025 19:10,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-5-20250929,WWTP Confined Space Tool Selection,1,18-12-2025 20:16,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-5-20250929,WWTP Activated Sludge Emergency Flocculation,1,18-12-2025 20:51,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-5-20250929,WWTP SCADA Cabling Standards,1,18-12-2025 21:14,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-5-20250929,WWTP Odor Collection Pipe Material Selection,1,20-12-2025 15:17,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-5-20250929,WWTP Primary Clarifier Design Criteria,1,20-12-2025 15:43,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-5-20250929,WWTP Emergency Response Sequencing - Sludge Bulking Crisis,3,20-12-2025 16:41,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-5-20250929,s2_wwtp_pump_failure,1,07-02-2026 16:36,0.857,,,
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-5-20250929,s5_wwtp_sensor_conflict,1,07-02-2026 18:21,0.8,,,
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-5-20250929,s1_wwtp_morning_v6,1,07-02-2026 16:20,1,,,
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-5-20250929,s3_wwtp_biogas_leak_v2,1,07-02-2026 17:08,1,,,
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-5-20250929,s4_wwtp_confined_space_v2,1,07-02-2026 17:50,1,,,
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-5-20250929,s6_wwtp_illegal_discharge_v2,1,07-02-2026 18:45,1,,,
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-5-20250929,s7_wwtp_blower_hallucination_v2,1,07-02-2026 19:05,1,,,
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-5-20250929,s8_wwtp_night_security_v4,1,07-02-2026 20:01,0.933,,,
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-5-20250929,s9_wwtp_flood_cascade_v2,1,07-02-2026 20:14,0.6,,,
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-5-20250929,s10_wwtp_blackout_v3,1,07-02-2026 20:25,0.688,,,
mehmetisik/wwtp-engineering-benchmark,claude-sonnet-4-5-20250929,wwtp_operator_challenge,3,11-02-2026 22:40,43,,,
mehmetisik/wwtp-engineering-benchmark,deepseek-v3.2,,1,10-02-2026 19:10,0.846153846,,,
mehmetisik/wwtp-engineering-benchmark,deepseek-v3.2,WWTP Equipment Material Selection,1,10-02-2026 18:07,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,deepseek-v3.2,WWTP Root Cause Analysis,1,10-02-2026 18:08,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,deepseek-v3.2,WWTP Dewatering System Root Cause,1,10-02-2026 18:19,,,,FALSE
mehmetisik/wwtp-engineering-benchmark,deepseek-v3.2,WWTP Digester Walkway Material Selection,2,10-02-2026 18:24,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,deepseek-v3.2,WWTP Confined Space Emergency Response,3,24-01-2026 22:21,,,,FALSE
mehmetisik/wwtp-engineering-benchmark,deepseek-v3.2,WWTP Biogas Desulfurization Recovery,1,10-02-2026 18:25,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,deepseek-v3.2,WWTP Sample Preservation Protocol,1,10-02-2026 18:28,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,deepseek-v3.2,WWTP Confined Space Tool Selection,1,10-02-2026 18:37,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,deepseek-v3.2,WWTP Activated Sludge Emergency Flocculation,1,10-02-2026 18:37,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,deepseek-v3.2,WWTP SCADA Cabling Standards,1,10-02-2026 18:40,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,deepseek-v3.2,WWTP Odor Collection Pipe Material Selection,1,10-02-2026 19:10,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,deepseek-v3.2,WWTP Primary Clarifier Design Criteria,1,10-02-2026 19:10,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,deepseek-v3.2,WWTP Emergency Response Sequencing - Sludge Bulking Crisis,3,10-02-2026 18:04,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,deepseek-v3.2,s2_wwtp_pump_failure,1,10-02-2026 06:01,1,,,
mehmetisik/wwtp-engineering-benchmark,deepseek-v3.2,s5_wwtp_sensor_conflict,1,10-02-2026 06:37,1,,,
mehmetisik/wwtp-engineering-benchmark,deepseek-v3.2,s1_wwtp_morning_v6,1,10-02-2026 06:50,1,,,
mehmetisik/wwtp-engineering-benchmark,deepseek-v3.2,s3_wwtp_biogas_leak_v2,1,10-02-2026 07:18,1,,,
mehmetisik/wwtp-engineering-benchmark,deepseek-v3.2,s4_wwtp_confined_space_v2,1,10-02-2026 08:10,1,,,
mehmetisik/wwtp-engineering-benchmark,deepseek-v3.2,s6_wwtp_illegal_discharge_v2,1,10-02-2026 09:35,1,,,
mehmetisik/wwtp-engineering-benchmark,deepseek-v3.2,s7_wwtp_blower_hallucination_v2,1,10-02-2026 11:07,1,,,
mehmetisik/wwtp-engineering-benchmark,deepseek-v3.2,s8_wwtp_night_security_v4,1,10-02-2026 11:28,0.933,,,
mehmetisik/wwtp-engineering-benchmark,deepseek-v3.2,s9_wwtp_flood_cascade_v2,1,10-02-2026 12:04,0.8,,,
mehmetisik/wwtp-engineering-benchmark,deepseek-v3.2,s10_wwtp_blackout_v3,1,10-02-2026 13:34,0.688,,,
mehmetisik/wwtp-engineering-benchmark,deepseek-v3.2,wwtp_operator_challenge,3,11-02-2026 22:37,39,,,
mehmetisik/wwtp-engineering-benchmark,qwen3-next-80b-a3b-instruct,,1,10-02-2026 19:10,0.846153846,,,
mehmetisik/wwtp-engineering-benchmark,qwen3-next-80b-a3b-instruct,WWTP Equipment Material Selection,1,10-02-2026 18:07,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,qwen3-next-80b-a3b-instruct,WWTP Root Cause Analysis,1,10-02-2026 18:08,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,qwen3-next-80b-a3b-instruct,WWTP Dewatering System Root Cause,1,10-02-2026 18:19,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,qwen3-next-80b-a3b-instruct,WWTP Digester Walkway Material Selection,2,10-02-2026 18:24,,,,FALSE
mehmetisik/wwtp-engineering-benchmark,qwen3-next-80b-a3b-instruct,WWTP Confined Space Emergency Response,3,10-02-2026 18:25,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,qwen3-next-80b-a3b-instruct,WWTP Biogas Desulfurization Recovery,1,10-02-2026 18:25,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,qwen3-next-80b-a3b-instruct,WWTP Sample Preservation Protocol,1,10-02-2026 18:28,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,qwen3-next-80b-a3b-instruct,WWTP Confined Space Tool Selection,1,10-02-2026 18:25,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,qwen3-next-80b-a3b-instruct,WWTP Activated Sludge Emergency Flocculation,1,10-02-2026 18:37,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,qwen3-next-80b-a3b-instruct,WWTP SCADA Cabling Standards,1,10-02-2026 18:40,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,qwen3-next-80b-a3b-instruct,WWTP Odor Collection Pipe Material Selection,1,10-02-2026 18:40,,,,FALSE
mehmetisik/wwtp-engineering-benchmark,qwen3-next-80b-a3b-instruct,WWTP Primary Clarifier Design Criteria,1,10-02-2026 19:10,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,qwen3-next-80b-a3b-instruct,WWTP Emergency Response Sequencing - Sludge Bulking Crisis,3,10-02-2026 18:03,,,,TRUE
mehmetisik/wwtp-engineering-benchmark,qwen3-next-80b-a3b-instruct,s2_wwtp_pump_failure,1,10-02-2026 06:01,0.857,,,
mehmetisik/wwtp-engineering-benchmark,qwen3-next-80b-a3b-instruct,s5_wwtp_sensor_conflict,1,10-02-2026 06:37,1,,,
mehmetisik/wwtp-engineering-benchmark,qwen3-next-80b-a3b-instruct,s1_wwtp_morning_v6,1,10-02-2026 06:50,1,,,
